7		7
15		1
13		1
13		13
1		13
14		14
4		1
9		9
14		4
7		7
15		15
13		7
13		13
1		1
14		15
4		4
9		9
14		15
7		7
15		15
13		13
13		14
1		13
14		14
4		4
9		9
14		4
7		7
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		14
7		7
15		15
13		13
13		14
1		1
14		14
4		4
9		14
14		14
7		7
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		14
7		7
15		15
13		13
13		13
1		14
14		14
4		7
9		9
14		13
7		7
15		15
13		13
13		13
1		15
14		14
4		4
9		9
14		14
7		13
15		15
13		1
13		14
1		14
14		14
4		15
9		9
14		4
7		14
15		15
13		13
13		13
1		1
14		14
4		4
9		4
14		14
7		4
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		14
7		7
15		15
13		13
13		13
1		13
14		13
4		15
9		7
14		14
7		15
15		14
13		13
13		14
1		1
14		14
4		4
9		9
14		1
7		15
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		1
7		15
15		15
13		13
13		13
1		1
14		14
4		4
9		15
14		14
7		4
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		9
7		15
15		14
13		13
13		13
1		1
14		14
4		4
9		9
14		14
7		7
15		15
13		13
13		13
1		14
14		14
4		4
9		9
14		14
7		7
15		15
13		1
13		13
1		1
14		14
4		4
9		9
14		4
7		7
15		15
13		13
13		13
1		1
14		14
4		4
9		9
14		14
7		7
15		15
13		13
13		13
1		1
14		15
4		4
9		9
14		14
7		7
15		15
13		13
13		13
1		1
14		14
4		1
9		4
14		14
7		7
15		15

Total no. of predictions = 200
Correct predictions = 152
Accuracy = 76.0 %
